id,fullname,email,phone,cccd,specialty,license_number,experience_years,certificate_info,clinic_id,status,note,submitted_at,reviewed_at,password_hash
78,BS. Phạm Hữu Hà,pham.huu.ha72@medibook.vn,0900000078,001090000078,Ngoại thần kinh / Cột sống,CCHN-00078,32,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.696114,2026-06-05T01:40:35.696114,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
79,BS. Hoàng Quang Vy,hoang.quang.vy12@medibook.vn,0900000079,001090000079,Tim mạch,CCHN-00079,4,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.696140,2026-06-05T01:40:35.696141,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
80,BS. Ngô Đức Vy,ngo.duc.vy49@medibook.vn,0900000080,001090000080,Thần kinh,CCHN-00080,20,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.696166,2026-06-05T01:40:35.696167,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
81,BS. Phạm Kim Trang,pham.kim.trang18@medibook.vn,0900000081,001090000081,Y học cổ truyền,CCHN-00081,28,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.696191,2026-06-05T01:40:35.696192,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
82,BS. Đỗ Anh Minh,do.anh.minh80@medibook.vn,0900000082,001090000082,Tai Mũi Họng,CCHN-00082,27,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.696217,2026-06-05T01:40:35.696217,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
83,BS. Nguyễn Văn Sơn,nguyen.van.son37@medibook.vn,0900000083,001090000083,Y học cổ truyền,CCHN-00083,19,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.696241,2026-06-05T01:40:35.696242,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
84,BS. Lê Quốc Yến,lc.quoc.yen89@medibook.vn,0900000084,001090000084,Dinh dưỡng,CCHN-00084,10,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.696266,2026-06-05T01:40:35.696266,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
85,BS. Hồ Thanh Hà,ho.thanh.ha99@medibook.vn,0900000085,001090000085,Nội tiết,CCHN-00085,26,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.696290,2026-06-05T01:40:35.696291,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
86,BS. Đặng Đức Tuấn,dặng.duc.tuan83@medibook.vn,0900000086,001090000086,Sản phụ khoa,CCHN-00086,21,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.696321,2026-06-05T01:40:35.696322,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
87,BS. Trần Kim Trang,tran.kim.trang42@medibook.vn,0900000087,001090000087,Ngoại thần kinh / Cột sống,CCHN-00087,29,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.696345,2026-06-05T01:40:35.696346,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
88,BS. Lý Hồng Dũng,ly.hong.dung66@medibook.vn,0900000088,001090000088,Ngoại tổng quát,CCHN-00088,28,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.696371,2026-06-05T01:40:35.696371,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
89,BS. Đỗ Thị Nam,do.thi.nam31@medibook.vn,0900000089,001090000089,Y học cổ truyền,CCHN-00089,5,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.696397,2026-06-05T01:40:35.696398,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
90,BS. Nguyễn Quốc Linh,nguyen.quoc.linh21@medibook.vn,0900000090,001090000090,Răng Hàm Mặt,CCHN-00090,25,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.696422,2026-06-05T01:40:35.696423,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
91,BS. Hoàng Anh Tâm,hoang.anh.tam27@medibook.vn,0900000091,001090000091,Tiêu hóa - Gan mật,CCHN-00091,6,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.696448,2026-06-05T01:40:35.696449,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
92,BS. Lê Kim Hải,lc.kim.hai88@medibook.vn,0900000092,001090000092,Thận - Tiết niệu,CCHN-00092,3,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.696476,2026-06-05T01:40:35.696477,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
93,BS. Võ Đức Vy,vo.duc.vy30@medibook.vn,0900000093,001090000093,Tiêu hóa - Gan mật,CCHN-00093,6,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.696503,2026-06-05T01:40:35.696504,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
94,BS. Đỗ Đức Sơn,do.duc.son12@medibook.vn,0900000094,001090000094,Thần kinh,CCHN-00094,25,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.696529,2026-06-05T01:40:35.696530,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
95,BS. Lê Kim Phương,lc.kim.phuong46@medibook.vn,0900000095,001090000095,Răng Hàm Mặt,CCHN-00095,28,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.696554,2026-06-05T01:40:35.696555,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
96,BS. Phạm Minh Sơn,pham.minh.son87@medibook.vn,0900000096,001090000096,Tai Mũi Họng,CCHN-00096,25,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.696581,2026-06-05T01:40:35.696582,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
97,BS. Lý Thanh Minh,ly.thanh.minh53@medibook.vn,0900000097,001090000097,Sức khỏe tâm thần,CCHN-00097,31,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.696605,2026-06-05T01:40:35.696606,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
98,BS. Hoàng Quang Nam,hoang.quang.nam84@medibook.vn,0900000098,001090000098,Nhi khoa,CCHN-00098,27,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.696631,2026-06-05T01:40:35.696632,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
99,BS. Dương Kim Tâm,duong.kim.tam79@medibook.vn,0900000099,001090000099,Tim mạch,CCHN-00099,28,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.696658,2026-06-05T01:40:35.696660,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
100,BS. Võ Quang Cường,vo.quang.cuong53@medibook.vn,0900000100,001090000100,Tiêu hóa - Gan mật,CCHN-00100,14,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.696740,2026-06-05T01:40:35.696742,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
101,BS. Trần Hữu Bình,tran.huu.binh58@medibook.vn,0900000101,001090000101,Tim mạch,CCHN-00101,7,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.696786,2026-06-05T01:40:35.696787,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
102,BS. Phan Thanh Tuấn,phan.thanh.tuan98@medibook.vn,0900000102,001090000102,Sức khỏe tâm thần,CCHN-00102,27,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.696814,2026-06-05T01:40:35.696815,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
103,BS. Dương Anh Bình,duong.anh.binh63@medibook.vn,0900000103,001090000103,Sản phụ khoa,CCHN-00103,10,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.696841,2026-06-05T01:40:35.696842,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
104,BS. Lê Hữu Dũng,lc.huu.dung23@medibook.vn,0900000104,001090000104,Thận - Tiết niệu,CCHN-00104,6,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.696867,2026-06-05T01:40:35.696868,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
105,BS. Lê Hữu Nam,lc.huu.nam92@medibook.vn,0900000105,001090000105,Tim mạch,CCHN-00105,20,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.696895,2026-06-05T01:40:35.696896,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
106,BS. Phan Kim Minh,phan.kim.minh88@medibook.vn,0900000106,001090000106,Răng Hàm Mặt,CCHN-00106,12,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.696924,2026-06-05T01:40:35.696925,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
107,BS. Dương Thanh Hải,duong.thanh.hai95@medibook.vn,0900000107,001090000107,Y học cổ truyền,CCHN-00107,15,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.696950,2026-06-05T01:40:35.696951,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
108,BS. Võ Minh Giang,vo.minh.giang94@medibook.vn,0900000108,001090000108,Ngoại thần kinh / Cột sống,CCHN-00108,28,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.696976,2026-06-05T01:40:35.696976,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
109,BS. Lê Hữu Yến,lc.huu.yen40@medibook.vn,0900000109,001090000109,Tai Mũi Họng,CCHN-00109,7,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.697001,2026-06-05T01:40:35.697002,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
110,BS. Nguyễn Thị Phương,nguyen.thi.phuong32@medibook.vn,0900000110,001090000110,Y học cổ truyền,CCHN-00110,33,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.697030,2026-06-05T01:40:35.697031,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
111,BS. Bùi Quang Phương,bui.quang.phuong36@medibook.vn,0900000111,001090000111,Ngoại tổng quát,CCHN-00111,7,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.697056,2026-06-05T01:40:35.697057,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
112,BS. Trần Minh Tuấn,tran.minh.tuan40@medibook.vn,0900000112,001090000112,Mắt,CCHN-00112,17,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.697084,2026-06-05T01:40:35.697085,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
113,BS. Nguyễn Đức Cường,nguyen.duc.cuong48@medibook.vn,0900000113,001090000113,Ngoại chấn thương chỉnh hình,CCHN-00113,30,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.697111,2026-06-05T01:40:35.697112,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
114,BS. Lý Hồng Hà,ly.hong.ha91@medibook.vn,0900000114,001090000114,Thận - Tiết niệu,CCHN-00114,3,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.697138,2026-06-05T01:40:35.697139,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
115,BS. Phan Quốc Linh,phan.quoc.linh87@medibook.vn,0900000115,001090000115,Nội tiết,CCHN-00115,8,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.697164,2026-06-05T01:40:35.697165,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
116,BS. Nguyễn Quang Sơn,nguyen.quang.son14@medibook.vn,0900000116,001090000116,Hô hấp,CCHN-00116,23,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.697192,2026-06-05T01:40:35.697194,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
117,BS. Lê Thị Thảo,lc.thi.thao93@medibook.vn,0900000117,001090000117,Nhi khoa,CCHN-00117,19,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.697221,2026-06-05T01:40:35.697222,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
118,BS. Đỗ Quốc Trang,do.quoc.trang42@medibook.vn,0900000118,001090000118,Tai Mũi Họng,CCHN-00118,34,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.697246,2026-06-05T01:40:35.697247,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
119,BS. Dương Quốc Phương,duong.quoc.phuong42@medibook.vn,0900000119,001090000119,Sản phụ khoa,CCHN-00119,3,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.697271,2026-06-05T01:40:35.697272,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
120,BS. Phạm Anh Hùng,pham.anh.hung39@medibook.vn,0900000120,001090000120,Tim mạch,CCHN-00120,32,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.697296,2026-06-05T01:40:35.697297,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
121,BS. Đỗ Thanh Nam,do.thanh.nam99@medibook.vn,0900000121,001090000121,Tai Mũi Họng,CCHN-00121,6,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.697325,2026-06-05T01:40:35.697326,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
122,BS. Đặng Thị Anh,dặng.thi.anh80@medibook.vn,0900000122,001090000122,Mắt,CCHN-00122,33,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.697351,2026-06-05T01:40:35.697352,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
123,BS. Đặng Thanh Lan,dặng.thanh.lan24@medibook.vn,0900000123,001090000123,Sản phụ khoa,CCHN-00123,15,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.697375,2026-06-05T01:40:35.697376,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
124,BS. Hoàng Hồng Phương,hoang.hong.phuong27@medibook.vn,0900000124,001090000124,Dinh dưỡng,CCHN-00124,28,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.697462,2026-06-05T01:40:35.697467,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
125,BS. Lê Hồng Dũng,lc.hong.dung76@medibook.vn,0900000125,001090000125,Ngoại chấn thương chỉnh hình,CCHN-00125,32,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.697550,2026-06-05T01:40:35.697551,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
126,BS. Phan Anh Hùng,phan.anh.hung33@medibook.vn,0900000126,001090000126,Ung bướu / Tầm soát ung thư,CCHN-00126,21,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.697597,2026-06-05T01:40:35.697598,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
127,BS. Đặng Hồng Tâm,dặng.hong.tam37@medibook.vn,0900000127,001090000127,Sức khỏe tâm thần,CCHN-00127,32,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.697629,2026-06-05T01:40:35.697630,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
128,BS. Trần Minh Minh,tran.minh.minh40@medibook.vn,0900000128,001090000128,Tiêu hóa - Gan mật,CCHN-00128,22,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.697658,2026-06-05T01:40:35.697659,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
129,BS. Đỗ Anh Anh,do.anh.anh67@medibook.vn,0900000129,001090000129,Nội tiết,CCHN-00129,10,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.697684,2026-06-05T01:40:35.697685,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
130,BS. Phạm Quang Dũng,pham.quang.dung72@medibook.vn,0900000130,001090000130,Ung bướu / Tầm soát ung thư,CCHN-00130,13,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.697711,2026-06-05T01:40:35.697712,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
131,BS. Hoàng Quốc Thảo,hoang.quoc.thao29@medibook.vn,0900000131,001090000131,Ngoại tổng quát,CCHN-00131,10,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.697737,2026-06-05T01:40:35.697738,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
132,BS. Hoàng Hồng Yến,hoang.hong.yen51@medibook.vn,0900000132,001090000132,Sức khỏe tâm thần,CCHN-00132,15,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.697763,2026-06-05T01:40:35.697764,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
133,BS. Võ Kim Tâm,vo.kim.tam52@medibook.vn,0900000133,001090000133,Ngoại tổng quát,CCHN-00133,17,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.697788,2026-06-05T01:40:35.697789,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
134,BS. Bùi Văn Trang,bui.van.trang67@medibook.vn,0900000134,001090000134,Tai Mũi Họng,CCHN-00134,32,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.697814,2026-06-05T01:40:35.697815,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
135,BS. Phan Hữu Yến,phan.huu.yen90@medibook.vn,0900000135,001090000135,Dinh dưỡng,CCHN-00135,20,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.697840,2026-06-05T01:40:35.697840,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
136,BS. Trần Hồng Phương,tran.hong.phuong55@medibook.vn,0900000136,001090000136,Nhi khoa,CCHN-00136,34,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.697866,2026-06-05T01:40:35.697867,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
137,BS. Nguyễn Kim Cường,nguyen.kim.cuong29@medibook.vn,0900000137,001090000137,Cơ xương khớp,CCHN-00137,25,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.698108,2026-06-05T01:40:35.698112,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
138,BS. Phạm Minh Cường,pham.minh.cuong84@medibook.vn,0900000138,001090000138,Hô hấp,CCHN-00138,26,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.698199,2026-06-05T01:40:35.698200,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
139,BS. Bùi Minh Yến,bui.minh.yen41@medibook.vn,0900000139,001090000139,Mắt,CCHN-00139,7,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.698337,2026-06-05T01:40:35.698341,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
140,BS. Trần Kim Phương,tran.kim.phuong68@medibook.vn,0900000140,001090000140,Nội tổng quát,CCHN-00140,33,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.698418,2026-06-05T01:40:35.698420,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
141,BS. Phan Quốc Khánh,phan.quoc.khanh74@medibook.vn,0900000141,001090000141,Tai Mũi Họng,CCHN-00141,26,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.698459,2026-06-05T01:40:35.698460,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
142,BS. Dương Thanh Minh,duong.thanh.minh13@medibook.vn,0900000142,001090000142,Tim mạch,CCHN-00142,23,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.698490,2026-06-05T01:40:35.698492,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
143,BS. Đỗ Văn Tuấn,do.van.tuan90@medibook.vn,0900000143,001090000143,Mắt,CCHN-00143,33,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.698524,2026-06-05T01:40:35.698525,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
144,BS. Đỗ Anh Vy,do.anh.vy61@medibook.vn,0900000144,001090000144,Dinh dưỡng,CCHN-00144,17,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.698553,2026-06-05T01:40:35.698555,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
145,BS. Hoàng Thị Giang,hoang.thi.giang72@medibook.vn,0900000145,001090000145,Răng Hàm Mặt,CCHN-00145,10,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.698580,2026-06-05T01:40:35.698581,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
146,BS. Trần Kim Linh,tran.kim.linh52@medibook.vn,0900000146,001090000146,Ngoại chấn thương chỉnh hình,CCHN-00146,28,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.698608,2026-06-05T01:40:35.698609,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
147,BS. Bùi Thị Sơn,bui.thi.son33@medibook.vn,0900000147,001090000147,Tai Mũi Họng,CCHN-00147,11,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.698634,2026-06-05T01:40:35.698635,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
148,BS. Nguyễn Kim Vy,nguyen.kim.vy98@medibook.vn,0900000148,001090000148,Tai Mũi Họng,CCHN-00148,13,Bằng Y khoa,1,approved,Generated seed data,2026-06-05T01:40:35.698661,2026-06-05T01:40:35.698662,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
149,BS. Đặng Đức Yến,dặng.duc.yen52@medibook.vn,0900000149,001090000149,Da liễu,CCHN-00149,3,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.698686,2026-06-05T01:40:35.698687,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
150,BS. Lý Thanh Phương,ly.thanh.phuong54@medibook.vn,0900000150,001090000150,Ngoại tổng quát,CCHN-00150,7,Bằng Y khoa,2,approved,Generated seed data,2026-06-05T01:40:35.698713,2026-06-05T01:40:35.698714,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
151,BS. Hồ Anh Hùng,ho.anh.hung30@medibook.vn,0900000151,001090000151,Dinh dưỡng,CCHN-00151,4,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.698738,2026-06-05T01:40:35.698739,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
152,BS. Lê Quang Hải,lc.quang.hai68@medibook.vn,0900000152,001090000152,Tim mạch,CCHN-00152,14,Bằng Y khoa,5,approved,Generated seed data,2026-06-05T01:40:35.698763,2026-06-05T01:40:35.698764,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
153,BS. Hoàng Thị Hùng,hoang.thi.hung59@medibook.vn,0900000153,001090000153,Sản phụ khoa,CCHN-00153,26,Bằng Y khoa,4,approved,Generated seed data,2026-06-05T01:40:35.698788,2026-06-05T01:40:35.698789,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
154,BS. Vũ Hữu Tâm,vu.huu.tam85@medibook.vn,0900000154,001090000154,Sức khỏe tâm thần,CCHN-00154,9,Bằng Y khoa,3,approved,Generated seed data,2026-06-05T01:40:35.698817,2026-06-05T01:40:35.698818,$2b$12$CFqCYG5oiNx7vJl6/DvPAOQX/OTP1C8L8fVz1YA3T7L.EeVlCxiK.
